"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X10588",16,0,0.000115,0.001287,0.000444,0.000808,0.000668,0.000657,0.010689,8.2e-05,0.000493,0.000843,0,0.000328
"X10629",16,0,0.000362,0.001092,0.000532,0.00066,0.000613,0.000628,0.009807,4.2e-05,0.000524,0.000702,0,0.000168
"X10633",16,0,0.00037,0.000908,0.000531,0.000738,0.000642,0.000641,0.010273,3.7e-05,0.000563,0.000721,0,0.000148
"X10661",16,0,0.000448,0.004451,0.00095,0.001459,0.001432,0.001272,0.022907,0.00023,0.000942,0.001921,1e-06,0.000919
"X10700",16,0,0.000482,0.000883,0.000682,0.000794,0.000715,0.000707,0.011441,2.8e-05,0.000656,0.000774,0,0.00011
"X10727",16,0,6.8e-05,0.002086,0.000187,0.000655,0.000522,0.000375,0.008356,0.000125,0.000256,0.000789,0,5e-04
"X10731",16,0,1e-04,0.000628,0.000223,0.000442,0.000343,0.000351,0.005494,3.7e-05,0.000265,0.000422,0,0.000147
"X10733",16,0,0.000219,0.001116,0.000454,0.000865,0.000663,0.000683,0.010614,7e-05,0.000515,0.000812,0,0.000278
"X10760",16,0,0.000184,0.000881,0.000319,0.000558,0.000447,0.000414,0.007149,4.9e-05,0.000341,0.000552,0,0.000198
"X10793",16,0,0.000253,0.000737,0.000359,0.000538,0.000449,0.000407,0.007177,3.6e-05,0.000372,0.000525,0,0.000144
"X10819",16,0,0.000304,0.000671,0.000376,0.000493,0.000451,0.00046,0.00721,2.3e-05,0.000402,5e-04,0,9.2e-05
"X10826",16,0,0.000381,0.000836,0.00044,0.000663,0.000561,0.000526,0.008973,3.9e-05,0.000477,0.000645,0,0.000158
"X10855",16,0,0.000373,0.002567,0.000942,0.001599,0.001262,0.001351,0.020198,0.000139,0.000966,0.001559,0,0.000557
"X10877",16,0,2e-04,0.000761,0.000403,0.00053,0.000467,0.000446,0.007475,3.7e-05,0.000389,0.000545,0,0.000146
"X10890",16,0,0.000307,0.000542,0.000399,0.000473,0.000427,0.000426,0.006833,1.6e-05,0.000392,0.000462,0,6.5e-05
"X10903",16,0,0.000254,0.000913,0.000446,0.000616,0.00054,0.000559,0.008634,4.4e-05,0.000446,0.000633,0,0.000176
"X10919",16,0,0.000297,0.000945,0.000551,0.000697,0.000622,0.000627,0.009948,4.6e-05,0.000523,0.000721,0,0.000186
"X10920",16,0,0.000149,0.004468,0.000315,0.000485,0.000648,0.000386,0.010364,0.000258,9.9e-05,0.001197,1e-06,0.00103
"X10953",16,0,0.000393,0.000735,0.000449,0.00056,0.000515,0.000483,0.008243,2.5e-05,0.000461,0.00057,0,0.000102
"X10959",16,0,0.000206,0.000592,0.00037,0.000432,0.000394,0.00038,0.006298,2.5e-05,0.000341,0.000446,0,9.9e-05
"X10965",16,0,0.000209,0.001168,0.000383,0.00071,6e-04,0.00056,0.009596,7.5e-05,0.00044,0.000759,0,0.000299
"X10995",16,0,0.000283,0.001592,0.000496,0.00089,0.000739,0.000579,0.011817,9.7e-05,0.000532,0.000946,0,0.000388
"X10996",16,0,0.000196,0.000999,0.000339,0.00061,0.000525,0.00053,0.008405,5.6e-05,0.000406,0.000645,0,0.000224
"X10997",16,0,0.000251,0.001325,0.000411,0.000936,0.000696,0.000562,0.011129,8.7e-05,0.00051,0.000882,0,0.000349
"X11004",16,0,6.4e-05,0.00099,0.000406,0.000816,0.000581,0.000585,0.009289,6.8e-05,0.000435,0.000727,0,0.000274
"X11007",16,0,9e-06,0.000651,0.000207,0.000304,0.000273,0.000267,0.004371,3.5e-05,0.000199,0.000347,0,0.000139
"X11021",16,0,0.000266,9e-04,0.000401,0.000584,0.000518,0.000496,0.008282,4.5e-05,0.000421,0.000614,0,0.000181
"X11052",16,0,0.000376,0.00083,0.000448,0.000582,0.000519,0.000491,0.008302,2.8e-05,0.00046,0.000578,0,0.000111
"X11083",16,0,0.000229,0.000874,0.000312,0.000642,0.000501,0.000474,0.00801,5.5e-05,0.000382,0.000619,0,0.000222
"X11096",16,0,0.000202,0.000632,0.00042,0.000553,0.000472,0.000467,0.007555,2.7e-05,0.000415,0.00053,0,0.000108
"X11145",16,0,0.000134,0.000445,0.000159,0.000241,0.000222,0.000192,0.003544,2.2e-05,0.000175,0.000268,0,8.7e-05
"X11148",16,0,0.000388,0.000547,0.000447,0.000499,0.000477,0.000478,0.007629,1.1e-05,0.000453,5e-04,0,4.4e-05
"X11161",16,0,0.000304,0.00076,0.000383,0.000565,0.000485,0.000496,0.007765,3.4e-05,0.000412,0.000558,0,0.000137
