"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X14536",16,0,0.000193,0.000625,0.000301,0.00035,0.000336,0.000329,0.005376,2.5e-05,0.000283,0.000389,0,9.9e-05
"X14546",16,0,1e-05,0.000164,1.6e-05,9.8e-05,5.8e-05,3.5e-05,0.000931,1.3e-05,3e-05,8.6e-05,0,5.2e-05
"X14547",16,0,0.000168,0.00081,0.00023,0.000419,0.00037,0.000314,0.005915,4.6e-05,0.000271,0.000468,0,0.000185
"X14554",16,0,4.7e-05,0.000718,0.000222,0.000386,0.000322,0.000306,0.005155,4.8e-05,0.000221,0.000424,0,0.00019
"X14557",16,0,0.000164,0.000906,0.000237,0.000399,0.000379,0.000334,0.00607,5.6e-05,0.000259,5e-04,0,0.000226
"X14558",16,0,0.000275,0.000879,0.000364,0.000502,0.000441,0.00041,0.007054,3.4e-05,0.000367,0.000514,0,0.000138
"X14567",16,0,8e-05,0.000838,0.00027,0.000511,0.000379,0.000304,0.006063,4.8e-05,0.000276,0.000482,0,0.000193
"X14571",16,0,0.000316,0.001067,0.000406,0.000555,0.000517,0.000457,0.008274,4.8e-05,0.000415,0.000619,0,0.000191
"X14572",16,0,0.000192,0.001334,0.000292,0.000541,0.000466,0.000386,0.007451,7.1e-05,0.000314,0.000617,0,0.000284
"X14578",16,0,0.00023,0.00132,0.000473,0.000823,0.00065,0.000551,0.010403,7.4e-05,0.000493,0.000807,0,0.000295
"X14604",16,0,0.000123,0.000853,0.000292,0.000473,0.000403,0.000373,0.006449,4.7e-05,0.000303,0.000504,0,0.000189
"X14618",16,0,4e-06,0.001186,5.5e-05,0.000566,0.000339,0.000187,0.005431,8.7e-05,0.000154,0.000525,0,0.000349
"X14625",16,0,0.000157,0.000895,0.000295,0.000583,0.000466,0.000402,0.007449,5.6e-05,0.000346,0.000586,0,0.000225
"X14643",16,0,6.4e-05,0.000377,0.000113,0.000245,0.000186,0.000182,0.002973,2.3e-05,0.000137,0.000235,0,9.2e-05
"X14647",16,0,0.000266,0.000615,0.000337,0.000448,0.000402,0.000368,0.006435,2.7e-05,0.000345,0.000459,0,0.000107
"X14654",16,0,0.000285,0.00087,0.000346,0.000568,0.00047,0.000453,0.007524,3.9e-05,0.000388,0.000553,0,0.000155
"X14656",16,0,0.000206,0.000567,0.000268,0.000494,0.000356,0.000303,0.005688,3.2e-05,0.000287,0.000424,0,0.000128
"X14659",16,0,0.000232,0.000512,0.000296,0.000364,0.000335,0.00031,0.005362,1.7e-05,0.000299,0.000371,0,6.8e-05
