"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X1911",16,0,0.000199,0.000553,0.000318,0.000464,0.000379,0.000382,0.006071,2.5e-05,0.000326,0.000433,0,0.000101
"X1921",16,0,0.000175,0.001605,0.000242,0.000396,4e-04,0.000288,0.0064,8.6e-05,0.000217,0.000583,0,0.000343
"X1928",16,0,0.000142,0.000656,0.000187,0.000385,0.000304,0.000266,0.004864,3.7e-05,0.000224,0.000384,0,0.00015
"X1942",16,0,0.000188,0.000717,0.000389,0.000526,0.000457,0.000462,0.007308,3.2e-05,0.000388,0.000526,0,0.00013
"X1949",16,0,0.00031,0.00068,0.000355,0.000477,0.000433,0.000422,0.006934,2.5e-05,0.000381,0.000486,0,9.8e-05
"X1951",16,0,6e-05,0.001509,0.000203,0.000623,0.00047,0.000338,0.007518,0.00011,0.000235,0.000705,0,0.000441
"X1952",16,0,0.000357,0.001049,0.000437,0.000851,0.000654,0.000629,0.010468,5.6e-05,0.000536,0.000773,0,0.000222
"X1955",16,0,0.000185,0.000708,0.000326,0.000549,0.000429,0.000354,0.006872,3.8e-05,0.000348,0.000511,0,0.000154
"X1957",16,0,0.000275,0.000605,0.000307,0.000481,0.00041,0.000431,0.006561,2.8e-05,0.00035,0.00047,0,0.000113
"X1959",16,0,0.000259,0.000467,0.000333,0.000393,0.000364,0.000364,0.005818,1.5e-05,0.000333,0.000395,0,5.8e-05
"X1960",16,0,0.000288,0.000808,0.000386,0.000619,0.000491,0.000458,0.007864,3.9e-05,0.000407,0.000576,0,0.000158
"X1964",16,0,0.000136,0.001338,0.000186,0.000396,0.000366,0.000303,0.005857,7.4e-05,0.000209,0.000524,0,0.000295
"X1979",16,0,0.000252,0.000793,0.000359,0.000508,0.000439,0.000401,0.007023,3.5e-05,0.000365,0.000513,0,0.000139
"X1991",16,0,0.000265,0.000539,0.000346,0.000485,0.000411,0.000423,0.006583,2.2e-05,0.000365,0.000458,0,8.7e-05
