"","AUC"
"X8952",0.89453125
"X8964",0.67578125
"X8980",0.6640625
"X8995",0.6484375
"X9005",0.58203125
"X9047",0.59375
"X9049",0.80859375
"X9050",0.5390625
"X9060",0.5546875
"X9061",0.90234375
"X9064",0.90625
"X9072",0.57421875
"X9074",0.6796875
"X9079",0.54296875
"X9085",0.5234375
"X9096",0.59375
"X9155",0.71875
"X9156",0.53515625
"X9157",1
"X9163",0.9921875
"X9174",0.90625
"X9179",0.765625
"X9180",0.56640625
"X9184",0.6953125
"X9192",0.59375
"X9196",0.73828125
"X9204",0.61328125
"X9221",0.578125
"X9227",0.515625
"X9233",0.69140625
"X9240",0.74609375
"X9248",0.515625
"X9256",1
"X9277",0.8046875
"X9279",0.65625
"X9284",0.609375
"X9290",0.5
"X9295",0.5703125
"X9306",0.53125
"X9307",0.640625
"X9308",0.5234375
"X9319",0.515625
"X9321",1
"X9329",0.50390625
"X9339",0.65234375
"X9347",0.59375
"X9383",0.546875
"X9394",0.66015625
"X9396",0.8046875
"X9403",0.6953125
"X9409",0.67578125
"X9428",0.609375
"X9429",0.55859375
"X9432",0.52734375
"X9451",0.578125
"X9453",0.52734375
"X9488",0.8671875
"X9489",0.671875
"X9494",0.79296875
"X9535",0.6015625
"X9545",0.5234375
"X9552",0.58203125
"X9562",0.5078125
"X9563",0.6484375
"X9565",0.71484375
"X9590",0.76953125
"X9592",0.8359375
"X9598",0.58203125
"X9605",0.69140625
"X9607",0.8515625
"X9612",0.5859375
"X9616",0.5703125
"X9625",0.51171875
"X9626",0.66796875
"X9658",0.75
"X9669",0.55078125
"X9678",0.8125
"X9679",0.69140625
"X9680",0.6796875
"X9705",0.53515625
"X9707",0.62890625
"X9711",0.53125
"X9733",0.50390625
"X9734",0.59765625
"X9737",0.51953125
"X9753",0.62890625
"X9756",0.53515625
"X9789",0.91015625
"X9809",0.8515625
"X9816",0.6015625
"X9859",0.5390625
"X9889",0.73828125
"X9896",0.6171875
"X9902",0.54296875
"X9905",0.6640625
"X9921",0.6015625
"X9922",0.5546875
"X9925",0.58203125
"X9927",0.5625
"X9928",0.61328125
"X9943",0.625
"X9963",0.54296875
"X9987",0.55078125
"X9988",0.73046875
"X9991",0.5703125
"X9998",0.9140625
"X10001",0.84375
"X10002",0.55078125
"X10007",0.6171875
"X10012",0.6484375
"X10014",0.5625
"X10021",0.5390625
"X10025",0.71875
"X10039",0.66015625
"X10041",0.66015625
"X10085",0.640625
"X10101",0.51953125
"X10116",0.796875
"X10121",0.6328125
"X10124",0.7265625
"X10125",0.58203125
"X10131",0.59765625
"X10138",0.546875
"X10140",0.59375
"X10145",0.85546875
"X10146",0.5078125
"X10148",0.58203125
"X10194",0.5859375
"X10204",0.5625
"X10216",0.6484375
"X10233",0.85546875
"X10234",0.5078125
"X10238",0.8984375
"X10264",0.80859375
"X10287",0.7734375
"X10301",0.60546875
"X10302",0.6171875
"X10308",0.54296875
"X10313",0.7578125
"X10326",0.58203125
"X10327",0.6484375
"X10334",0.859375
"X10337",0.7265625
"X10343",0.54296875
"X10350",0.671875
"X10361",0.51171875
"X10378",1
"X10397",0.55078125
"X10399",0.5234375
"X10409",0.64453125
"X10426",0.515625
"X10432",0.52734375
"X10435",1
"X10452",0.73046875
"X10456",0.58984375
"X10459",0.6796875
"X10461",0.96484375
"X10494",0.66796875
"X10526",0.55859375
"X10535",0.76171875
"X10539",0.64453125
"X10541",0.59375
"X10542",0.6640625
"X10556",0.5625
"X10563",0.55078125
"X10566",0.671875
"X10608",1
"X10615",0.6171875
"X10616",0.78125
"X10617",0.8046875
"X10619",0.80859375
"X10633",0.56640625
"X10640",0.79296875
"X10641",0.8671875
"X10646",0.640625
"X10650",0.69921875
"X10653",0.82421875
"X10676",0.69921875
"X10677",0.56640625
"X10703",0.5625
"X10712",0.52734375
"X10716",0.7109375
"X10720",0.61328125
"X10734",0.5234375
"X10740",0.546875
"X10745",0.9375
"X10747",0.7265625
"X10761",0.640625
"X10773",0.5
"X10799",0.78125
"X10800",0.66015625
"X10810",0.66796875
"X10813",0.58984375
"X10817",0.5625
"X10822",0.73046875
"X10824",0.578125
"X10826",0.6484375
"X10830",0.70703125
"X10847",0.63671875
"X10866",0.609375
"X10896",0.96484375
"X10912",0.55078125
"X10917",0.65234375
"X10922",1
"X10926",0.7109375
"X10930",0.83984375
"X10931",0.86328125
"X10937",0.6484375
"X10942",0.73828125
"X10944",1
"X10959",0.6484375
"X10999",0.59375
"X11021",0.68359375
"X11031",0.87890625
"X11035",0.50390625
"X11040",0.68359375
"X11074",0.50390625
"X11077",0.5390625
"X11110",0.5703125
"X11119",0.5
"X11140",0.9609375
"X11142",0.80859375
"X11169",0.6015625
"X11173",0.5859375
"X11186",0.6171875
"X11188",0.72265625
"X11190",0.515625
"X11212",0.546875
"X11225",0.6640625
"X11230",0.63671875
"X11258",0.55078125
"X11259",0.9765625
"X11282",0.5234375
"X11298",0.63671875
"X11331",0.54296875
"X11334",0.74609375
"X11342",0.65234375
"X11378",0.62890625
"X11383",0.98828125
"X11384",0.62890625
"X11392",0.53515625
"X11395",0.56640625
"X11397",0.89453125
"X11399",0.75
"X11401",0.5859375
"X11406",0.62890625
"X11411",0.640625
"X11433",0.625
"X11452",0.58203125
"X11490",0.796875
"X11491",0.95703125
"X11492",0.5078125
"X11493",0.66796875
"X11494",0.64453125
"X11501",0.78125
"X11503",0.6015625
"X11505",0.57421875
"X11545",0.58984375
"X11553",0.91015625
"X11566",0.5078125
